movie_id,title,year,release_date,revenue,budget,runtime,genres,popularity,vote_average,vote_count,original_language,type,cast
1165,The Queen,2006,2006-09-15,123384128,15000000,103,"['Drama', 'History']",1.7535,6.947,1331,en,oscar,
1259,Notes on a Scandal,2006,2006-12-25,49814392,15000000,92,"['Drama', 'Romance']",3.5536,7.098,914,en,oscar,
1271,300,2007,2007-03-07,456082343,65000000,116,"['Action', 'Adventure', 'War']",13.917,7.187,13962,en,commercial,"['Gerard Butler', 'Lena Headey', 'Dominic West', 'David Wenham', 'Vincent Regan']"
1372,Blood Diamond,2006,2006-12-08,171700000,100000000,143,"['Drama', 'Thriller', 'Action']",8.1348,7.545,7801,en,oscar,
1402,The Pursuit of Happyness,2006,2006-12-14,307077295,55000000,117,['Drama'],26.5,7.891,10041,en,both,"['Will Smith', 'Jaden Smith', 'Thandiwe Newton', 'Brian Howe', 'James Karen']"
1407,La Vie en Rose,2007,2007-02-14,86274793,25000000,140,"['Music', 'Drama']",1.9557,7.399,1637,fr,oscar,
1422,The Departed,2006,2006-10-04,291465000,90000000,151,"['Drama', 'Thriller', 'Crime']",15.6299,8.159,15257,en,both,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg', 'Martin Sheen']"
1440,Little Children,2006,2006-10-06,14821658,26000000,137,"['Drama', 'Romance']",3.1761,7.08,1047,en,oscar,
1444,Junebug,2005,2005-08-03,0,1000000,106,"['Comedy', 'Drama']",0.8916,6.587,229,en,oscar,
1452,Superman Returns,2006,2006-06-28,391081192,223000000,154,"['Science Fiction', 'Action', 'Adventure']",5.5967,5.778,4263,en,commercial,"['Brandon Routh', 'Kate Bosworth', 'Kevin Spacey', 'James Marsden', 'Parker Posey']"
1495,Kingdom of Heaven,2005,2005-05-03,218100001,130000000,144,"['Drama', 'Action', 'Adventure', 'History', 'War']",24.1081,7.0,4440,en,commercial,"['Orlando Bloom', 'Eva Green', 'Jeremy Irons', 'David Thewlis', 'Edward Norton']"
1523,The Last King of Scotland,2006,2006-01-12,48600000,6000000,123,['Drama'],3.4441,7.418,2183,en,oscar,
1538,Collateral,2004,2004-08-04,220239925,65000000,120,"['Drama', 'Crime', 'Thriller']",6.5316,7.228,5761,en,both,"['Tom Cruise', 'Jamie Foxx', 'Jada Pinkett Smith', 'Mark Ruffalo', 'Peter Berg']"
1571,Live Free or Die Hard,2007,2007-06-20,383531464,110000000,128,"['Action', 'Thriller']",7.073,6.6,5961,en,commercial,"['Bruce Willis', 'Timothy Olyphant', 'Justin Long', 'Cliff Curtis', 'Maggie Q']"
1581,The Holiday,2006,2006-12-05,205219880,85000000,136,"['Comedy', 'Romance']",7.3917,7.093,5260,en,commercial,"['Cameron Diaz', 'Kate Winslet', 'Jude Law', 'Jack Black', 'Eli Wallach']"
1593,Night at the Museum,2006,2006-12-20,574480841,110000000,108,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",10.0978,6.587,10380,en,commercial,"['Ben Stiller', 'Carla Gugino', 'Dick Van Dyke', 'Mickey Rooney', 'Bill Cobbs']"
1640,Crash,2005,2005-05-06,98400000,6500000,112,['Drama'],4.439,7.217,3579,en,oscar,
1677,Ray,2004,2004-10-29,124700000,40000000,152,"['Drama', 'Music']",4.2181,7.446,2043,en,oscar,
1726,Iron Man,2008,2008-04-30,585174222,140000000,126,"['Action', 'Science Fiction', 'Adventure']",24.9263,7.7,26889,en,commercial,"['Robert Downey Jr.', 'Terrence Howard', 'Jeff Bridges', 'Gwyneth Paltrow', 'Leslie Bibb']"
1735,The Mummy: Tomb of the Dragon Emperor,2008,2008-07-01,403449830,145000000,112,"['Adventure', 'Action', 'Fantasy']",6.9467,5.494,4511,en,commercial,"['Brendan Fraser', 'Maria Bello', 'John Hannah', 'Luke Ford', 'Isabella Leong Lok-Sze']"
1771,Captain America: The First Avenger,2011,2011-07-22,370569774,140000000,124,"['Action', 'Adventure', 'Science Fiction']",13.317,7.0,21775,en,commercial,"['Chris Evans', 'Hayley Atwell', 'Sebastian Stan', 'Tommy Lee Jones', 'Hugo Weaving']"
1777,Fahrenheit 9/11,2004,2004-06-25,222400000,6000000,123,['Documentary'],1.3113,7.089,1434,en,commercial,"['Michael Moore', 'John Conyers', 'Abdul Henderson', 'Craig Unger', 'George W. Bush']"
1858,Transformers,2007,2007-06-27,709709780,150000000,144,"['Adventure', 'Science Fiction', 'Action']",5.3274,6.812,11520,en,commercial,"['Shia LaBeouf', 'Megan Fox', 'Mark Ryan', 'Peter Cullen', 'Hugo Weaving']"
1865,Pirates of the Caribbean: On Stranger Tides,2011,2011-05-15,1046721266,379000000,136,"['Adventure', 'Action', 'Fantasy']",19.4655,6.557,14258,en,commercial,"['Johnny Depp', 'Penélope Cruz', 'Geoffrey Rush', 'Ian McShane', 'Kevin McNally']"
1895,Star Wars: Episode III - Revenge of the Sith,2005,2005-05-17,850000000,113000000,140,"['Adventure', 'Action', 'Science Fiction']",21.002,7.436,14016,en,commercial,"['Hayden Christensen', 'Ewan McGregor', 'Natalie Portman', 'Ian McDiarmid', 'Samuel L. Jackson']"
1919,Away from Her,2007,2007-05-04,9194283,3000000,110,"['Drama', 'Romance']",2.4897,7.009,226,en,oscar,
1930,The Amazing Spider-Man,2012,2012-06-23,757930663,215000000,136,"['Action', 'Adventure', 'Science Fiction']",19.2385,6.7,17664,en,commercial,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans', 'Denis Leary', 'Martin Sheen']"
1979,Fantastic Four: Rise of the Silver Surfer,2007,2007-06-13,301913131,130000000,92,"['Science Fiction', 'Adventure', 'Action']",11.7681,5.604,7954,en,commercial,"['Ioan Gruffudd', 'Jessica Alba', 'Chris Evans', 'Michael Chiklis', 'Julian McMahon']"
1985,The Constant Gardener,2005,2005-08-31,82468097,25000000,129,"['Drama', 'Mystery', 'Thriller']",3.9447,7.0,1544,en,oscar,
2048,"I, Robot",2004,2004-07-15,347234916,120000000,115,"['Action', 'Science Fiction']",12.0062,6.951,11993,en,commercial,"['Will Smith', 'Alan Tudyk', 'Bridget Moynahan', 'James Cromwell', 'Bruce Greenwood']"
2059,National Treasure,2004,2004-11-19,347500000,100000000,131,"['Adventure', 'Action', 'Thriller', 'Mystery']",7.3183,6.638,6442,en,commercial,"['Nicolas Cage', 'Diane Kruger', 'Justin Bartha', 'Sean Bean', 'Jon Voight']"
2062,Ratatouille,2007,2007-06-28,623726000,150000000,111,"['Animation', 'Comedy', 'Family', 'Fantasy']",24.4103,7.826,17435,en,commercial,"['Patton Oswalt', 'Ian Holm', 'Lou Romano', 'Brian Dennehy', 'Peter Sohn']"
2080,X-Men Origins: Wolverine,2009,2009-04-28,373062864,150000000,107,"['Adventure', 'Action', 'Science Fiction']",1.202,6.275,10680,en,commercial,"['Hugh Jackman', 'Liev Schreiber', 'Danny Huston', 'Lynn Collins', 'Kevin Durand']"
2252,Eastern Promises,2007,2007-09-14,56106607,51500000,101,"['Thriller', 'Crime', 'Mystery']",4.1045,7.355,3442,en,oscar,
2268,The Golden Compass,2007,2007-12-04,372200000,180000000,113,"['Adventure', 'Fantasy']",6.116,6.07,4594,en,commercial,"['Nicole Kidman', 'Daniel Craig', 'Dakota Blue Richards', 'Ben Walker', 'Freddie Highmore']"
2288,Closer,2004,2004-12-03,115505027,27000000,104,"['Drama', 'Romance']",4.4741,6.829,3510,en,oscar,
2454,The Chronicles of Narnia: Prince Caspian,2008,2008-05-15,419665568,225000000,150,"['Adventure', 'Family', 'Fantasy']",9.7202,6.619,6457,en,commercial,"['William Moseley', 'Anna Popplewell', 'Skandar Keynes', 'Georgie Henley', 'Ben Barnes']"
2486,Eragon,2006,2006-12-14,250425512,100000000,104,"['Fantasy', 'Action', 'Adventure', 'Family']",5.9536,5.108,3296,en,commercial,"['Ed Speleers', 'Jeremy Irons', 'Sienna Guillory', 'Robert Carlyle', 'John Malkovich']"
2502,The Bourne Supremacy,2004,2004-07-23,288500217,75000000,108,"['Action', 'Drama', 'Thriller']",6.6637,7.322,7661,en,commercial,"['Matt Damon', 'Franka Potente', 'Brian Cox', 'Julia Stiles', 'Karl Urban']"
2503,The Bourne Ultimatum,2007,2007-08-03,442824138,70000000,115,"['Action', 'Drama', 'Mystery', 'Thriller']",7.3478,7.427,7839,en,commercial,"['Matt Damon', 'Julia Stiles', 'David Strathairn', 'Scott Glenn', 'Paddy Considine']"
2567,The Aviator,2004,2004-12-17,213700000,110000000,170,['Drama'],5.9679,7.2,5455,en,oscar,
3291,"Good Night, and Good Luck.",2005,2005-09-16,54600000,7000000,92,"['Drama', 'History']",6.958,7.078,1011,en,oscar,
3580,Changeling,2008,2008-10-24,113400000,55000000,141,"['Crime', 'Drama', 'Mystery']",3.0168,7.591,4232,en,oscar,
3902,I'm Not There,2007,2007-10-01,4001121,20000000,135,"['Drama', 'Music']",4.466,6.541,725,en,oscar,
4148,Revolutionary Road,2008,2008-12-19,76000000,35000000,119,"['Drama', 'Romance']",8.5408,6.987,3886,en,oscar,
4347,Atonement,2007,2007-02-27,131016624,30000000,123,"['Drama', 'Romance']",10.9714,7.642,4342,en,oscar,
